Accession,Description,Gene,MW [kDa],Control_3,Case_3
Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens OX=9606 GN=UTP14A PE=1 SV=1,UTP14A,87.9,8593249.906413142,3909853.952797644
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,94.3,4654736.244311267,10761671.803220173
P54886,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,ALDH18A1,87.2,12744259.71715625,23264181.102704152
Q13620,Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4,CUL4B,103.9,11059766.229772467,4929065.850608611
O94875,Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=3,SORBS2,124.0,12261591.353018058,9956029.777451407
Q9P2N7,Kelch-like protein 13 OS=Homo sapiens OX=9606 GN=KLHL13 PE=1 SV=3,KLHL13,73.8,19220188.03909574,9830999.522782775
O15027,Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4,SEC16A,251.7,6220317.311625161,12293350.502556222
O95573,Fatty acid CoA ligase Acsl3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3,ACSL3,80.4,4240578.131083771,6375925.390098419
Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,PRDX1,22.1,117595637.36725335,221693915.53856534
Q14739,Delta(14)-sterol reductase LBR OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2,LBR,70.7,28502146.257631417,22208696.94223533
O60664,Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3,PLIN3,47.0,8986020.829275431,3624360.614276194
Q99459,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,CDC5L,92.2,9057330.156647068,6041986.22283074
Q9NQC7,Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens OX=9606 GN=CYLD PE=1 SV=1,CYLD,107.2,16757391.067741562,30409438.387944512
P27694,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2,RPA1,68.1,8154730.119926363,6093374.263990685
Q5UIP0,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,RIF1,274.3,5499759.702043596,9294287.925154367
Q8IWC1,MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2,MAP7D3,98.4,48867780.27133644,4759432.863015906
P53618,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,COPB1,107.1,8698509.870811194,15655201.764210453
Q6PJP8,DNA cross-link repair 1A protein OS=Homo sapiens OX=9606 GN=DCLRE1A PE=1 SV=3,DCLRE1A,116.3,4510650.367021094,1885567.8676099714
Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",IARS2,113.7,10201581.08912395,15625773.523249393
Q92917,G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2,GPKOW,52.2,7943822.418329703,5402206.927327564
O75694,Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,NUP155,155.1,3882957.6191203333,5250206.559875954
Q9UK61,Protein TASOR OS=Homo sapiens OX=9606 GN=TASOR PE=1 SV=3,TASOR,188.9,17265343.94131448,6028552.65138378
Q6PJT7,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1,ZC3H14,82.8,20452247.47414368,18276562.91113249
Q14671,Pumilio homolog 1 OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=3,PUM1,126.4,5890449.361709163,5357195.956772021
Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,DDX18,75.4,10021387.7314824,12903336.730807489
Q96C24,Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,SYTL4,76.0,18375201.68178121,25169777.16203632
Q9BPX3,Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1,NCAPG,114.3,8588661.919324849,9797184.15085343
Q92598,Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1,HSPH1,96.8,6783263.585337521,8261411.887853707
A1X283,SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3,SH3PXD2B,101.5,14507566.67569504,8490649.360421907
Q9H089,Large subunit GTPase 1 homolog OS=Homo sapiens OX=9606 GN=LSG1 PE=1 SV=2,LSG1,75.2,11532978.048622675,3538275.4529742613
Q5SWA1,Protein phosphatase 1 regulatory subunit 15B OS=Homo sapiens OX=9606 GN=PPP1R15B PE=1 SV=2,PPP1R15B,79.1,13132513.009626167,6258054.55585857
Q9BVP2,Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2,GNL3,62.0,12424773.370897382,17526424.190827373
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,TUBB6,49.8,1439372.0870031111,1215456.5100521352
P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1,PPP1CC,37.0,1516734.5295285224,1424425.7458026004
Q96BD5,PHD finger protein 21A OS=Homo sapiens OX=9606 GN=PHF21A PE=1 SV=1,PHF21A,74.8,19960653.28587483,8955137.706836909
Q15437,Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2,SEC23B,86.4,3178563.659032027,1504193.2944429063
P18615,Negative elongation factor E OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=3,NELFE,43.2,4872844.964590975,5253245.343658997
P14866,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,HNRNPL,64.1,16485097.736430416,23585371.501105063
Q9NZM1,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,MYOF,234.6,5257333.899247719,5612659.160873443
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2,LDHB,36.6,14200260.74780809,34839139.91526065
Q92769,Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,HDAC2,55.3,12223300.810010312,2213610.798946187
P46063,ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,RECQL,73.4,14422166.609643651,12382516.631592814
P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3,EIF2S3,51.1,14131348.784301309,17787092.922728054
Q99613,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1,EIF3C,105.3,13838799.282590603,8192334.213327333
Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,CLTC,191.5,4841701.954362751,18314460.780103333
Q9UKX7,Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2,NUP50,50.1,15800383.836639473,23622620.946500972
Q9Y2X3,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,NOP58,59.5,7355737.233569225,10553878.345772976
Q9UPT8,Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens OX=9606 GN=ZC3H4 PE=1 SV=3,ZC3H4,140.2,7346425.501237323,8608883.119505703
P62424,Large ribosomal subunit protein eL8 OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,RPL7A,30.0,20177980.521932337,37772685.35291246
Q7L2J0,7SK snRNA methylphosphate capping enzyme OS=Homo sapiens OX=9606 GN=MEPCE PE=1 SV=1,MEPCE,74.3,3917275.2246166347,8284026.389420467
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,ATP1A1,112.8,7998526.582079439,17955853.699524313
P98082,Disabled homolog 2 OS=Homo sapiens OX=9606 GN=DAB2 PE=1 SV=3,DAB2,82.4,9272268.598333815,6335144.545324192
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,AHSA1,38.3,39492361.11958816,11300742.603484984
Q14684,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3,RRP1B,84.4,9814879.922325725,10186330.913379679
Q9BRD0,BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1,BUD13,70.5,29815772.67893885,28537556.45100935
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1,37.4,41544603.10515814,62808341.55331277
P00533,Epidermal growth factor receptor OS=Homo sapiens OX=9606 GN=EGFR PE=1 SV=2,EGFR,134.2,8087249.332175007,8902229.816029707
O94973,AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,AP2A2,103.9,692772.5128303953,1091126.4103868192
P46736,Lys-63-specific deubiquitinase BRCC36 OS=Homo sapiens OX=9606 GN=BRCC3 PE=1 SV=2,BRCC3,36.0,15640806.95767188,25697242.05356694
Q53SF7,Cordon-bleu protein-like 1 OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=3,COBLL1,123.8,1851494.5622464777,1768121.6093601505
Q8IW35,Centrosomal protein of 97 kDa OS=Homo sapiens OX=9606 GN=CEP97 PE=1 SV=1,CEP97,96.9,8299532.067208111,6841665.290996891
Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2,ARFGAP1,44.6,10230774.162694596,4969804.300159341
Q9H0C8,Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens OX=9606 GN=ILKAP PE=1 SV=1,ILKAP,42.9,17571855.007117737,25231009.446528103
Q69YH5,Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2,CDCA2,112.6,6052295.381410906,4033578.0039903927
O60318,Germinal-center associated nuclear protein OS=Homo sapiens OX=9606 GN=MCM3AP PE=1 SV=2,MCM3AP,218.3,4232318.990605399,7911719.585131181
Q9Y314,Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1,NOSIP,33.2,16120708.358602332,22111125.512445487
P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",SFPQ,76.1,22293684.06842577,47050772.024898425
Q7Z417,FMR1-interacting protein NUFIP2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1,NUFIP2,76.1,14886809.547418978,11629470.699581752
Q6MZP7,Protein lin-54 homolog OS=Homo sapiens OX=9606 GN=LIN54 PE=1 SV=3,LIN54,79.4,7644054.937744956,5214146.444365194
O95391,Pre-mRNA-splicing factor SLU7 OS=Homo sapiens OX=9606 GN=SLU7 PE=1 SV=2,SLU7,68.3,11735153.588992458,10217305.584002346
O00148,ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,DDX39A,49.1,21261876.22653934,35719704.32127018
O43719,17S U2 SnRNP complex component HTATSF1 OS=Homo sapiens OX=9606 GN=HTATSF1 PE=1 SV=1,HTATSF1,85.8,5515839.9426457565,1901728.2950031222
P26599,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=2,PTBP1,59.6,15254741.823578367,39436224.66636584
Q08AD1,Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens OX=9606 GN=CAMSAP2 PE=1 SV=3,CAMSAP2,168.0,6672604.826889125,5016969.257933901
P35232,Prohibitin 1 OS=Homo sapiens OX=9606 GN=PHB1 PE=1 SV=1,PHB1,29.8,29444762.29414012,48573897.87522593
O00401,Actin nucleation-promoting factor WASL OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2,WASL,54.8,14196373.03270214,11902549.551650079
O95487,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,SEC24B,137.3,7787996.589555544,3595261.6757488004
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,MCM3,90.9,9854148.61369807,13300053.274173336
Q9HB71,Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2,CACYBP,26.2,17820873.59885565,6259436.455030132
Q1ED39,Lysine-rich nucleolar protein 1 OS=Homo sapiens OX=9606 GN=KNOP1 PE=1 SV=1,KNOP1,51.6,6230620.7809084235,1705268.8293227078
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5,SEC22B,24.7,30954966.25615019,30378124.756745186
Q5H9F3,BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=2,BCORL1,190.4,2758975.2515199366,1755047.3811957792
Q15637,Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4,SF1,68.3,9150738.932163881,4837639.81671822
Q9UJS0,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2",SLC25A13,74.1,13770848.251832865,19217934.049768914
Q8TEW0,Partitioning defective 3 homolog OS=Homo sapiens OX=9606 GN=PARD3 PE=1 SV=2,PARD3,151.3,4233924.634108687,3193149.3995302035
Q9UBD5,Origin recognition complex subunit 3 OS=Homo sapiens OX=9606 GN=ORC3 PE=1 SV=1,ORC3,82.2,9111184.510103961,3182480.451392748
Q9BQ39,ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,DDX50,82.5,8831908.618353019,7938196.579290603
P05141,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,SLC25A5,32.8,83916939.43020587,121571497.42324142
Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,ABCF2,71.2,11162695.955880864,10445617.89701728
Q7Z739,YTH domain-containing family protein 3 OS=Homo sapiens OX=9606 GN=YTHDF3 PE=1 SV=1,YTHDF3,63.8,15656898.041046748,12120847.09474602
P23528,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,CFL1,18.5,23645665.948893677,39596685.01374481
Q6P1N0,Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,CC2D1A,104.0,6163026.565494184,1704512.6570900534
Q8NI27,THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2,THOC2,182.7,6119720.390823283,6956673.914440784
Q9UHX1,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,PUF60,59.8,5282359.133594005,1218464.1563846031
Q15717,ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,ELAVL1,36.1,10291215.902864015,15549347.832931243
Q9BUQ8,Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3,DDX23,95.5,10740805.789917907,13354274.109035384
O00567,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,NOP56,66.0,6167008.864315869,11952329.783637607
O95985,DNA topoisomerase 3-beta-1 OS=Homo sapiens OX=9606 GN=TOP3B PE=1 SV=1,TOP3B,96.6,5408434.258662468,4336320.584679098
Q6ZSR9,Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2,,38.0,8485750.545471314,10052872.560716115
Q8N0X7,Spartin OS=Homo sapiens OX=9606 GN=SPART PE=1 SV=1,SPART,72.8,9567960.30747799,4045175.200274759
Q8NDV7,Trinucleotide repeat-containing gene 6A protein OS=Homo sapiens OX=9606 GN=TNRC6A PE=1 SV=2,TNRC6A,210.2,5347186.83279349,4085045.765072261
Q15058,Kinesin-like protein KIF14 OS=Homo sapiens OX=9606 GN=KIF14 PE=1 SV=1,KIF14,186.4,4061686.167977106,2920665.0765868174
O15056,Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=3,SYNJ2,165.4,5416346.49427039,5605569.0476811705
Q12769,Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3,NUP160,162.0,4177074.9934270494,4314231.948876963
Q99567,Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,NUP88,83.5,7430620.844565364,8583000.161503507
P08237,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2",PFKM,85.1,4670047.7719193855,8937256.661149116
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,DYNC1H1,532.1,2364914.255816523,2483108.3311096225
Q2KHR3,Glutamine and serine-rich protein 1 OS=Homo sapiens OX=9606 GN=QSER1 PE=1 SV=3,QSER1,189.9,4758360.865714952,3188313.70818347
O60885,Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2,BRD4,152.1,13336655.306361012,4086574.045473502
Q96SI9,Spermatid perinuclear RNA-binding protein OS=Homo sapiens OX=9606 GN=STRBP PE=1 SV=1,STRBP,73.6,15818343.836000483,13627736.862226963
Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,CAND1,136.3,5055663.256611923,11470817.803239238
Q8NFC6,Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens OX=9606 GN=BOD1L1 PE=1 SV=2,BOD1L1,330.3,1443058.8979189107,2915270.500699113
Q14152,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,EIF3A,166.5,5280518.9911849,5007561.301090462
P09884,DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2,POLA1,165.8,4900778.629039303,6139482.70140676
Q7Z5K2,Wings apart-like protein homolog OS=Homo sapiens OX=9606 GN=WAPL PE=1 SV=1,WAPL,132.9,3547560.8001952055,2293885.520820209
O60260,E3 ubiquitin-protein ligase parkin OS=Homo sapiens OX=9606 GN=PRKN PE=1 SV=2,PRKN,51.6,2402085.196336595,3039940.315483506
Q15459,Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,SF3A1,88.8,7642423.055753419,8820174.374042066
Q14694,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens OX=9606 GN=USP10 PE=1 SV=2,USP10,87.1,9102954.679594211,10415640.097659573
Q13506,NGFI-A-binding protein 1 OS=Homo sapiens OX=9606 GN=NAB1 PE=1 SV=2,NAB1,54.4,14568779.440450795,8159576.0861172
O94979,Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3,SEC31A,132.9,7022161.419367809,4428645.379198586
O43172,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2,PRPF4,58.4,7544038.073354774,87170105.79656668
Q6PD62,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens OX=9606 GN=CTR9 PE=1 SV=1,CTR9,133.4,6314689.574136649,6983641.683111972
P49916,DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2,LIG3,112.8,8508731.387156568,11995095.819460986
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,OGT,116.9,6652290.553787062,8714876.671314502
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",LRPPRC,157.8,3379453.800830192,8225539.95522275
Q9BY44,Eukaryotic translation initiation factor 2A OS=Homo sapiens OX=9606 GN=EIF2A PE=1 SV=3,EIF2A,64.9,6655452.8375911955,3973748.021497232
Q12788,Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2,TBL3,89.0,1399911.5845550634,3417397.4150668313
Q8IY63,Angiomotin-like protein 1 OS=Homo sapiens OX=9606 GN=AMOTL1 PE=1 SV=1,AMOTL1,106.5,6662593.333424004,4982477.65502627
Q9Y2W2,WW domain-binding protein 11 OS=Homo sapiens OX=9606 GN=WBP11 PE=1 SV=1,WBP11,70.0,11120872.635740127,10211203.790594263
P56192,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",MARS1,101.1,3846097.760175727,6340748.300492136
Q8NDI1,EH domain-binding protein 1 OS=Homo sapiens OX=9606 GN=EHBP1 PE=1 SV=3,EHBP1,139.9,3844257.707165219,1408225.9212345066
P12236,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,SLC25A6,32.8,12360577.030133102,19671477.70806412
A0MZ66,Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4,SHTN1,71.6,7482894.924563705,7564474.635720966
Q86XL3,Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4,ANKLE2,104.1,5276989.981564217,4944737.173543887
P62701,"Small ribosomal subunit protein eS4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",RPS4X,29.6,36037347.38183228,44843587.21102665
Q9ULV4,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,CORO1C,53.2,12295354.980950562,14910973.797232984
O15381,Nuclear valosin-containing protein-like OS=Homo sapiens OX=9606 GN=NVL PE=1 SV=1,NVL,95.0,1785373.0354647902,2879535.4923661584
Q9H6R4,Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2,NOL6,127.5,3754879.7483658614,4844686.2167529
P26639,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",TARS1,83.4,3607547.7441587,6206604.380645394
Q14126,Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2,DSG2,122.2,4123862.419727538,3497778.2759080776
O00505,Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,KPNA3,57.8,11014013.675263042,10578369.082463292
P32969,Large ribosomal subunit protein uL6 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,RPL9,21.9,20561469.98027346,39635988.98760808
P33991,DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5,MCM4,96.5,9457382.084394356,17117873.172737163
Q00325,Solute carrier family 25 member 3 OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2,SLC25A3,40.1,34164712.20970825,54555895.88298754
Q13823,Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,GNL2,83.6,6459899.606857334,5879164.097310568
Q9P258,Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,RCC2,56.0,7240978.578830268,15556230.125019632
Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,PICALM,70.7,7645518.750373938,7216860.986702142
P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,ATP6V1A,68.3,14096666.16433303,16140304.370536907
Q9UGI8,Testin OS=Homo sapiens OX=9606 GN=TES PE=1 SV=1,TES,48.0,9930182.516443146,11393267.412109436
Q9HBL0,Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=3,TNS1,196.9,5169641.512683075,3667097.756155129
Q9Y266,Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,NUDC,38.2,28765143.63546305,29222064.316991296
P51532,Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2,SMARCA4,184.5,3739616.598170004,6124716.406832958
Q9NYF8,Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,BCLAF1,106.1,26924491.07964879,19221860.608043402
P50402,Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1,EMD,29.0,17973871.89048692,19917236.037849147
O15061,Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=3,SYNM,172.8,3097926.5203522374,3212265.1180723687
P62826,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,RAN,24.4,77779634.25870486,150021944.99003425
Q9NQW6,Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,ANLN,124.1,6854038.47512444,4696676.543681567
Q9UQB8,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1,BAIAP2,60.8,5442834.736658284,1376641.338882076
Q9H1I8,Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens OX=9606 GN=ASCC2 PE=1 SV=3,ASCC2,86.3,9455890.583742728,4518260.420733426
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1,RPRD1B,36.9,4350050.831958773,2976625.7856660928
O95819,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2,MAP4K4,142.0,5705327.050729964,6118859.648560963
O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,ACTN4,104.8,6227745.128163448,29464968.484432854
P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,VDAC2,31.5,70641347.59294346,92745558.83283974
Q13838,Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,DDX39B,49.0,792315.7179106638,1729677.1699806477
Q03164,Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5,KMT2A,431.5,1930797.3757795764,3314109.853591141
Q13573,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,SNW1,61.5,19328605.753511935,22021251.501891185
P18124,Large ribosomal subunit protein uL30 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,RPL7,29.2,47867887.64560318,44321286.42794666
Q13625,Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens OX=9606 GN=TP53BP2 PE=1 SV=2,TP53BP2,125.5,6121333.8439325895,6308244.403775059
Q9P246,Stromal interaction molecule 2 OS=Homo sapiens OX=9606 GN=STIM2 PE=1 SV=2,STIM2,83.9,7442363.031014278,4799687.74141985
